user;timestamp;cpu;ram;disco
Guilherme;2025-08-22 13:22:28;24.5;4.2;143.5
Guilherme;2025-08-22 13:22:29;16.6;4.2;143.5
Guilherme;2025-08-22 13:22:30;13.3;4.2;143.5
Guilherme;2025-08-22 13:22:31;22.0;4.2;143.5
Guilherme;2025-08-22 13:22:32;10.8;4.2;143.5
Guilherme;2025-08-22 13:22:33;10.9;4.2;143.5
Guilherme;2025-08-22 13:22:34;7.9;4.2;143.5
Guilherme;2025-08-22 13:22:35;25.9;4.2;143.5
Guilherme;2025-08-22 13:22:36;19.8;4.2;143.5
Guilherme;2025-08-22 13:22:37;23.3;4.2;143.5
Guilherme;2025-08-22 13:22:38;9.4;4.2;143.5
Guilherme;2025-08-22 13:22:39;52.2;4.2;143.5
Guilherme;2025-08-22 13:22:40;75.9;4.2;143.5
Guilherme;2025-08-22 13:22:41;76.8;4.3;143.5
Guilherme;2025-08-22 13:22:42;75.7;4.3;143.5
Guilherme;2025-08-22 13:22:43;62.2;4.5;143.5
Guilherme;2025-08-22 13:22:44;8.7;4.5;143.5
Guilherme;2025-08-22 13:22:45;17.8;4.4;143.5
Guilherme;2025-08-22 13:22:46;34.4;4.4;143.5
Guilherme;2025-08-22 13:22:47;46.1;4.4;143.5
Guilherme;2025-08-22 13:22:48;43.5;4.4;143.5
Guilherme;2025-08-22 13:22:49;42.1;4.3;143.5
Guilherme;2025-08-22 13:22:50;57.5;4.3;143.5
Guilherme;2025-08-22 13:22:51;9.6;4.3;143.5
Guilherme;2025-08-22 13:22:52;17.6;4.3;143.5
Guilherme;2025-08-22 13:22:53;6.6;4.3;143.5
Guilherme;2025-08-22 13:22:54;6.8;4.3;143.5
